Rank,Player,AST
1,John Stockton*,15806
2,Jason Kidd*,12091
3,Steve Nash*,10335
4,Mark Jackson,10334
5,*Chris Paul*,10145
6,Magic Johnson*,10141
7,Oscar Robertson*,9887
8,*LeBron James*,9669
9,Isiah Thomas*,9061
10,Gary Payton*,8966
11,Andre Miller,8524
12,Rod Strickland,7987
13,*Russell Westbrook*,7845
14,Maurice Cheeks*,7392
15,*Rajon Rondo*,7357
16,Lenny Wilkens*,7211
17,Terry Porter,7160
18,Tim Hardaway,7095
19,Tony Parker,7036
20,Bob Cousy*,6955
21,Guy Rodgers*,6917
22,Deron Williams,6819
23,Muggsy Bogues,6726
24,Kevin Johnson,6711
25,Derek Harper,6577
26,Tiny Archibald*,6476
27,Stephon Marbury,6471
28,John Lucas,6454
29,Reggie Theus,6453
30,Norm Nixon,6386
31,Kobe Bryant*,6306
32,Jerry West*,6238
33,Scottie Pippen*,6135
34,Clyde Drexler*,6125
35,John Havlicek*,6114
36,Baron Davis,6025
37,Mookie Blaylock,5972
38,*Kyle Lowry*,5947
39,Sam Cassell,5939
40,Avery Johnson,5846
41,Nick Van Exel,5777
42,*James Harden*,5712
43,Dwyane Wade,5701
44,Larry Bird*,5695
45,Kareem Abdul-Jabbar*,5660
46,Chauncey Billups,5636
47,Michael Jordan*,5633
48,Allen Iverson*,5624
49,*John Wall*,5538
50,Mike Bibby,5517
51,Dennis Johnson*,5499
52,Kevin Garnett*,5445
53,Jason Terry,5415
54,Dave Bing*,5397
55,Damon Stoudamire,5371
56,Kevin Porter,5314
57,Jeff Hornacek,5281
58,Karl Malone*,5248
59,Rickey Green,5221
60,Norm Van Lier,5217
61,Kenny Anderson,5196
62,Julius Erving*,5176
63,Sleepy Floyd,5175
64,José Calderón,5148
65,Raymond Felton,5096
66,Walt Frazier*,5040
67,Joe Johnson,5001
68,*Andre Iguodala*,4986
69,*Mike Conley*,4983
70,Rick Barry*,4952
71,*Stephen Curry*,4914
72,Nate McMillan,4893
73,Doc Rivers,4889
74,Mark Price,4863
75,*Jrue Holiday*,4807
76,Gail Goodrich*,4805
77,*Ricky Rubio*,4755
78,Vince Carter,4714
79,Brad Davis,4709
80,Paul Pierce,4708
81,Fat Lever,4696
82,Louie Dampier*,4687
83,Wilt Chamberlain*,4643
84,Joe Dumars*,4612
85,Jason Williams,4611
86,Gus Williams,4597
87,*Jeff Teague*,4555
88,Jamal Crawford,4541
89,Hal Greer*,4540
90,Sherman Douglas,4536
91,Jameer Nelson,4508
92,Randy Smith,4487
93,Brevin Knight,4481
94,Don Buse,4425
