Game,Opp,W/L,TmScore,OppScore,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
1,PHO,W,85,84,35,79,0.443,2,16,0.125,13,21,0.619,12,47,10,9,5,13,22,32,81,0.395,5,25,0.2,15,19,0.789,12,45,23,9,3,14,24
2,BOS,W,97,78,36,79,0.456,4,12,0.333,21,25,0.84,12,48,16,7,12,9,20,29,78,0.372,7,17,0.412,13,18,0.722,13,37,16,4,12,12,22
3,PHO,L,78,93,26,90,0.289,3,14,0.214,23,28,0.821,24,57,14,4,5,13,24,33,78,0.423,7,23,0.304,20,22,0.909,10,47,22,3,10,10,22
4,SAC,L,80,96,36,89,0.404,0,15,0,8,16,0.5,22,60,24,4,2,19,18,35,85,0.412,8,23,0.348,18,21,0.857,12,41,16,12,6,10,15
5,UTA,L,90,94,37,74,0.5,3,10,0.3,13,16,0.813,7,37,22,5,4,15,24,37,76,0.487,5,15,0.333,15,23,0.652,9,36,20,6,6,12,18
6,PHI,L,93,101,35,79,0.443,3,10,0.3,20,25,0.8,12,42,21,6,5,13,18,41,86,0.477,4,16,0.25,15,18,0.833,11,38,22,8,7,8,19
7,DEN,L,88,96,36,77,0.468,8,17,0.471,8,10,0.8,8,36,19,7,9,17,23,37,79,0.468,5,21,0.238,17,22,0.773,8,37,24,8,6,12,13
8,DAL,L,81,96,26,64,0.406,6,11,0.545,23,28,0.821,6,39,17,11,0,20,19,32,74,0.432,8,19,0.421,24,29,0.828,6,35,22,12,2,14,21
9,DEN,W,94,81,39,75,0.52,6,10,0.6,10,14,0.714,9,40,26,8,5,16,23,29,71,0.408,8,23,0.348,15,21,0.714,8,35,19,4,5,17,19
10,OKC,L,85,95,36,80,0.45,1,16,0.063,12,17,0.706,14,42,20,4,5,13,17,35,73,0.479,7,20,0.35,18,26,0.692,7,36,19,6,10,11,18
11,MIN,L,80,87,34,90,0.378,4,16,0.25,8,16,0.5,19,51,17,10,2,12,32,24,70,0.343,6,25,0.24,33,38,0.868,12,48,11,5,5,16,19
12,MEM,L,99,108,35,75,0.467,4,10,0.4,25,31,0.806,12,43,19,5,8,15,30,35,78,0.449,5,10,0.5,33,41,0.805,13,40,16,7,5,9,19
13,POR,L,77,84,28,68,0.412,0,9,0,21,28,0.75,8,40,16,9,6,17,15,34,72,0.472,6,20,0.3,10,15,0.667,4,37,25,9,1,17,20
14,MEM,L,87,93,34,70,0.486,5,12,0.417,14,16,0.875,9,34,23,8,6,17,19,36,73,0.493,6,14,0.429,15,17,0.882,12,37,23,11,4,16,17
15,HOU,L,88,90,37,94,0.394,3,11,0.273,11,16,0.688,16,48,20,9,5,13,15,35,88,0.398,9,27,0.333,11,13,0.846,14,53,17,11,7,19,18
16,DAL,L,81,83,29,79,0.367,2,19,0.105,21,32,0.656,11,41,15,9,3,11,16,32,79,0.405,4,26,0.154,15,20,0.75,9,49,17,7,7,11,25
17,SAS,L,102,104,42,83,0.506,6,12,0.5,12,13,0.923,11,40,20,8,7,14,14,41,75,0.547,7,16,0.438,15,20,0.75,4,27,28,8,1,10,10
18,OKC,L,91,101,35,75,0.467,1,7,0.143,20,21,0.952,8,32,16,11,8,17,24,34,64,0.531,5,13,0.385,28,33,0.848,5,31,21,10,8,21,17
19,ORL,W,93,67,41,81,0.506,5,14,0.357,6,16,0.375,12,43,20,14,3,12,18,24,61,0.393,6,21,0.286,13,21,0.619,4,36,15,5,5,22,18
20,ATL,L,72,94,27,73,0.37,3,10,0.3,15,19,0.789,9,36,20,6,5,13,19,36,81,0.444,12,23,0.522,10,17,0.588,13,42,22,10,9,13,18
21,MIA,L,95,109,40,75,0.533,4,13,0.308,11,19,0.579,4,25,20,9,1,13,19,43,78,0.551,6,15,0.4,17,21,0.81,11,39,23,6,3,15,17
22,PHO,L,103,120,40,77,0.519,9,16,0.563,14,17,0.824,8,33,32,4,4,17,29,41,78,0.526,6,15,0.4,32,39,0.821,7,35,22,9,6,8,16
23,SAS,L,81,93,33,74,0.446,3,8,0.375,12,16,0.75,7,38,17,5,5,13,22,34,74,0.459,4,19,0.211,21,27,0.778,10,40,16,4,3,9,15
24,DET,L,87,89,34,72,0.472,4,12,0.333,15,18,0.833,11,38,19,6,4,15,19,35,78,0.449,2,10,0.2,17,23,0.739,15,42,19,7,2,13,14
25,SAC,L,92,100,34,81,0.42,3,9,0.333,21,26,0.808,15,48,21,6,6,11,19,37,78,0.474,8,24,0.333,18,25,0.72,11,41,17,5,5,9,21
26,CHI,L,67,90,28,75,0.373,1,3,0.333,10,17,0.588,10,39,19,3,4,18,12,39,85,0.459,4,16,0.25,8,12,0.667,12,49,29,11,1,12,13
27,POR,L,86,94,33,75,0.44,3,16,0.188,17,25,0.68,14,37,20,10,1,17,27,35,68,0.515,4,17,0.235,20,25,0.8,8,33,24,10,9,16,21
28,UTA,W,86,80,32,75,0.427,3,11,0.273,19,28,0.679,13,37,23,14,6,12,19,30,73,0.411,4,14,0.286,16,23,0.696,18,45,17,8,7,18,22
29,MIL,W,92,89,36,80,0.45,7,15,0.467,13,17,0.765,15,48,20,8,3,17,20,33,86,0.384,7,18,0.389,16,18,0.889,16,40,18,9,10,13,18
30,NYK,W,89,85,32,75,0.427,7,12,0.583,18,23,0.783,9,37,23,14,3,17,25,31,75,0.413,4,24,0.167,19,29,0.655,15,47,13,9,5,21,17
31,OKC,L,93,101,33,91,0.363,7,14,0.5,20,23,0.87,16,47,17,8,4,16,17,36,80,0.45,8,26,0.308,21,24,0.875,10,48,15,11,13,19,19
32,IND,L,108,117,42,79,0.532,9,21,0.429,15,23,0.652,7,38,26,3,5,15,24,44,88,0.5,7,19,0.368,22,31,0.71,13,44,18,7,4,12,20
33,CLE,W,89,84,36,89,0.404,2,10,0.2,15,20,0.75,20,56,22,5,9,13,26,27,85,0.318,6,27,0.222,24,37,0.649,22,48,20,6,5,11,23
34,CHI,L,95,99,36,89,0.404,4,9,0.444,19,22,0.864,13,47,22,8,7,14,18,41,90,0.456,3,18,0.167,14,20,0.7,15,50,25,11,10,13,16
35,TOR,L,84,95,30,80,0.375,3,16,0.188,21,27,0.778,14,49,22,3,4,10,22,34,77,0.442,9,15,0.6,18,23,0.783,7,36,22,4,9,10,22
36,DAL,W,97,92,40,88,0.455,3,13,0.231,14,17,0.824,16,50,22,7,2,11,16,37,83,0.446,11,29,0.379,7,10,0.7,9,34,25,9,5,12,16
37,IND,L,84,102,33,81,0.407,4,12,0.333,14,21,0.667,14,43,22,3,5,13,21,35,80,0.438,9,19,0.474,23,32,0.719,15,49,24,8,10,14,17
38,POR,L,74,86,29,70,0.414,3,9,0.333,13,22,0.591,8,37,14,6,3,14,20,31,72,0.431,6,22,0.273,18,24,0.75,8,43,19,8,5,11,22
39,SAC,L,98,99,42,77,0.545,3,9,0.333,11,12,0.917,11,41,23,8,2,20,20,38,76,0.5,8,23,0.348,15,23,0.652,8,29,20,13,2,13,17
40,DEN,L,97,110,33,72,0.458,4,11,0.364,27,32,0.844,9,31,23,7,2,11,22,41,73,0.562,6,23,0.261,22,32,0.688,11,35,33,9,6,12,25
41,MIN,W,95,89,39,85,0.459,3,7,0.429,14,16,0.875,8,36,28,7,3,12,22,33,80,0.413,5,23,0.217,18,25,0.72,16,47,19,5,4,17,19
42,CHA,L,71,73,30,78,0.385,5,12,0.417,6,7,0.857,9,37,23,9,6,17,11,34,79,0.43,0,12,0,5,7,0.714,11,47,16,10,7,17,10
43,LAL,L,101,107,44,85,0.518,3,10,0.3,10,13,0.769,5,34,25,8,7,15,30,37,82,0.451,5,19,0.263,28,35,0.8,11,44,24,12,3,19,16
44,WAS,L,89,99,34,75,0.453,4,14,0.286,17,19,0.895,8,31,22,8,3,12,14,39,75,0.52,6,18,0.333,15,17,0.882,7,38,20,7,8,14,18
