Game,Opp,Year,Result,TmScore,OppScore,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
1,GSW,2011-2012,W,105,86,37,81,0.457,8,23,0.348,23,38,0.605,13,43,22,9,8,10,19,32,82,0.39,5,21,0.238,17,24,0.708,17,48,17,4,8,16,32
2,SAS,2011-2012,L,90,115,29,74,0.392,7,20,0.35,25,33,0.758,10,30,17,8,5,12,17,45,80,0.563,10,19,0.526,15,15,1,7,43,27,3,1,15,23
3,CHI,2011-2012,L,101,114,41,80,0.513,7,15,0.467,12,20,0.6,9,31,26,6,3,11,22,39,78,0.5,7,17,0.412,29,34,0.853,15,45,29,4,2,12,19
4,POR,2011-2012,W,93,88,36,75,0.48,6,24,0.25,15,24,0.625,8,38,25,11,2,21,18,33,78,0.423,4,15,0.267,18,22,0.818,13,46,20,9,2,21,24
5,HOU,2011-2012,W,117,89,47,82,0.573,6,16,0.375,17,24,0.708,5,33,30,12,3,7,17,35,76,0.461,7,16,0.438,12,17,0.706,6,33,15,3,0,19,23
6,MIL,2011-2012,W,92,86,31,69,0.449,4,19,0.211,26,40,0.65,8,37,17,10,9,13,23,29,80,0.363,6,20,0.3,22,27,0.815,13,42,18,7,2,14,31
7,POR,2011-2012,L,97,105,37,83,0.446,6,23,0.261,17,24,0.708,13,39,18,5,4,14,27,37,72,0.514,5,14,0.357,26,32,0.813,7,34,21,8,2,11,24
8,MIA,2011-2012,W,95,89,36,86,0.419,6,17,0.353,17,23,0.739,10,45,22,7,8,15,22,32,81,0.395,5,16,0.313,20,34,0.588,13,50,18,9,6,18,22
9,LAL,2011-2012,W,102,94,35,85,0.412,9,21,0.429,23,30,0.767,17,50,17,5,1,9,22,35,77,0.455,5,12,0.417,19,25,0.76,11,42,24,3,2,9,26
10,NJN,2011-2012,W,101,91,37,80,0.463,8,21,0.381,19,35,0.543,15,46,26,7,8,14,21,33,78,0.423,8,24,0.333,17,26,0.654,9,35,22,7,2,8,24
11,UTA,2011-2012,L,79,108,31,85,0.365,4,20,0.2,13,21,0.619,13,45,17,4,5,13,21,39,82,0.476,3,8,0.375,27,31,0.871,9,48,18,10,5,8,20
12,DAL,2011-2012,W,91,89,37,87,0.425,8,22,0.364,9,17,0.529,16,47,25,11,7,13,17,34,81,0.42,9,20,0.45,12,18,0.667,15,42,22,8,7,15,18
13,MIN,2011-2012,L,98,101,33,71,0.465,11,21,0.524,21,28,0.75,7,41,12,6,5,18,27,36,81,0.444,6,15,0.4,23,33,0.697,10,39,21,8,3,11,22
14,TOR,2011-2012,W,103,91,35,72,0.486,8,21,0.381,25,40,0.625,9,44,26,14,9,20,24,29,81,0.358,8,19,0.421,25,31,0.806,14,40,21,15,4,18,31
