Game,Opp,Year,Result,TmScore,OppScore,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
1,POR,2010-2011,L,88,98,32,79,0.405,5,18,0.278,19,30,0.633,14,41,19,8,8,15,20,36,88,0.409,8,20,0.4,18,23,0.783,21,51,17,9,6,12,23
2,GSW,2010-2011,L,91,109,32,83,0.386,5,18,0.278,22,32,0.688,14,40,17,7,1,16,16,43,81,0.531,14,24,0.583,9,17,0.529,9,46,32,8,7,17,25
3,DAL,2010-2011,L,83,99,28,82,0.341,4,21,0.19,23,31,0.742,15,48,17,7,3,16,23,36,77,0.468,7,16,0.438,20,29,0.69,8,41,23,7,7,14,22
4,SAS,2010-2011,L,88,97,38,82,0.463,4,13,0.308,8,16,0.5,10,40,26,10,6,17,18,38,79,0.481,9,21,0.429,12,15,0.8,7,39,28,11,3,18,21
5,OKC,2010-2011,W,107,92,42,80,0.525,8,16,0.5,15,27,0.556,7,41,22,5,6,12,18,34,90,0.378,4,26,0.154,20,23,0.87,16,47,17,4,2,12,20
6,DEN,2010-2011,L,104,111,43,86,0.5,2,15,0.133,16,25,0.64,11,41,28,6,2,10,16,43,83,0.518,5,21,0.238,20,22,0.909,8,37,26,6,3,9,17
7,UTA,2010-2011,L,107,109,37,86,0.43,5,20,0.25,28,32,0.875,14,51,16,6,9,22,31,40,97,0.412,6,18,0.333,23,31,0.742,17,43,21,6,7,10,23
8,NOH,2010-2011,L,82,101,31,67,0.463,5,16,0.313,15,18,0.833,7,39,19,4,2,25,21,39,77,0.506,8,16,0.5,15,21,0.714,5,33,29,11,7,13,24
9,SAS,2010-2011,L,95,107,40,86,0.465,7,10,0.7,8,14,0.571,13,34,21,10,4,14,24,35,71,0.493,11,18,0.611,26,30,0.867,10,41,21,6,11,16,17
10,DET,2010-2011,L,107,113,37,80,0.463,4,20,0.2,29,38,0.763,12,49,19,9,4,21,26,39,82,0.476,11,18,0.611,24,36,0.667,7,34,21,10,3,11,25
11,NJN,2010-2011,L,96,110,30,76,0.395,8,24,0.333,28,38,0.737,17,34,16,6,0,12,17,43,72,0.597,6,15,0.4,18,19,0.947,9,35,32,5,8,12,28
12,MIN,2010-2011,L,111,113,42,87,0.483,8,23,0.348,19,25,0.76,15,43,24,8,2,16,22,39,73,0.534,10,19,0.526,25,28,0.893,5,33,26,9,9,14,21
13,IND,2010-2011,L,80,107,27,81,0.333,2,9,0.222,24,33,0.727,13,42,10,7,3,12,18,39,77,0.506,14,26,0.538,15,20,0.75,6,47,24,7,14,14,25
14,NYK,2010-2011,L,115,124,43,79,0.544,7,15,0.467,22,29,0.759,8,38,23,7,6,18,29,35,76,0.461,11,24,0.458,43,51,0.843,11,32,22,13,6,11,26
15,NOH,2010-2011,W,99,95,38,75,0.507,6,19,0.316,17,34,0.5,12,43,26,7,5,12,24,37,78,0.474,6,20,0.3,15,23,0.652,9,40,19,2,2,12,30
16,SAC,2010-2011,W,100,82,35,69,0.507,2,13,0.154,28,36,0.778,10,45,19,5,4,17,25,29,71,0.408,4,11,0.364,20,32,0.625,9,35,21,7,4,12,26
17,PHO,2010-2011,L,108,116,42,83,0.506,11,24,0.458,13,19,0.684,7,39,20,3,7,16,28,39,82,0.476,12,25,0.48,26,33,0.788,9,37,26,9,4,6,19
18,UTA,2010-2011,L,97,109,33,72,0.458,8,19,0.421,23,30,0.767,14,39,24,4,3,17,22,41,70,0.586,8,21,0.381,19,25,0.76,4,28,34,8,8,10,25
19,SAS,2010-2011,W,90,85,37,75,0.493,7,22,0.318,9,18,0.5,12,50,24,5,9,19,20,32,90,0.356,9,30,0.3,12,17,0.706,18,43,21,9,2,8,18
20,DEN,2010-2011,L,104,109,39,90,0.433,6,20,0.3,20,29,0.69,13,46,25,13,3,16,37,27,67,0.403,10,24,0.417,45,59,0.763,10,42,17,11,11,19,23
21,POR,2010-2011,L,91,100,29,71,0.408,7,25,0.28,26,43,0.605,13,40,16,11,5,13,26,31,78,0.397,7,13,0.538,31,36,0.861,17,47,16,10,1,15,27
22,SAC,2010-2011,W,98,91,36,81,0.444,7,18,0.389,19,23,0.826,12,43,23,5,6,12,24,31,85,0.365,3,16,0.188,26,32,0.813,13,45,15,7,7,12,25
23,LAL,2010-2011,L,86,87,32,80,0.4,9,23,0.391,13,19,0.684,13,52,25,13,4,19,16,34,80,0.425,7,19,0.368,12,19,0.632,6,39,23,10,2,17,17
24,MEM,2010-2011,L,83,84,33,72,0.458,7,14,0.5,10,12,0.833,14,43,25,6,7,26,18,33,79,0.418,4,11,0.364,14,18,0.778,9,31,20,16,3,17,19
25,ORL,2010-2011,L,85,94,32,84,0.381,4,23,0.174,17,25,0.68,11,42,22,4,3,8,22,36,75,0.48,6,23,0.261,16,26,0.615,11,54,17,3,2,9,22
26,PHI,2010-2011,L,91,105,33,83,0.398,5,19,0.263,20,27,0.741,14,48,16,3,4,14,18,40,91,0.44,6,17,0.353,19,23,0.826,16,41,22,7,9,3,17
27,DET,2010-2011,W,109,88,46,81,0.568,10,19,0.526,7,13,0.538,12,45,31,9,3,17,16,33,82,0.402,4,14,0.286,18,27,0.667,14,35,19,6,4,14,15
28,CHI,2010-2011,W,100,99,37,73,0.507,8,17,0.471,18,30,0.6,9,38,20,6,4,14,24,39,82,0.476,6,15,0.4,15,23,0.652,12,37,17,5,5,15,25
29,MIN,2010-2011,W,113,90,43,83,0.518,7,23,0.304,20,33,0.606,14,56,31,9,4,12,20,32,80,0.4,7,18,0.389,19,27,0.704,7,33,20,7,1,13,21
30,HOU,2010-2011,L,92,97,35,87,0.402,4,15,0.267,18,26,0.692,14,46,22,10,6,16,19,35,82,0.427,9,29,0.31,18,23,0.783,10,45,28,10,7,18,24
31,PHO,2010-2011,W,108,103,40,75,0.533,7,21,0.333,21,34,0.618,8,40,26,6,3,13,22,39,87,0.448,9,25,0.36,16,18,0.889,8,33,26,8,1,11,26
32,SAC,2010-2011,W,100,99,40,83,0.482,9,22,0.409,11,15,0.733,16,48,23,6,5,19,14,36,87,0.414,13,26,0.5,14,17,0.824,15,34,18,10,7,9,16
33,UTA,2010-2011,L,95,103,35,72,0.486,8,22,0.364,17,26,0.654,10,34,23,4,10,13,20,40,85,0.471,5,15,0.333,18,21,0.857,15,42,25,4,4,12,23
34,ATL,2010-2011,L,98,107,37,80,0.463,4,18,0.222,20,29,0.69,11,42,20,3,9,17,25,32,70,0.457,8,18,0.444,35,40,0.875,7,33,17,6,4,13,24
35,DEN,2010-2011,W,106,93,39,91,0.429,10,27,0.37,18,27,0.667,19,57,23,5,9,12,23,30,80,0.375,8,19,0.421,25,31,0.806,10,43,16,7,2,14,24
36,GSW,2010-2011,W,105,91,34,86,0.395,4,17,0.235,33,43,0.767,16,52,21,13,7,16,20,32,82,0.39,7,22,0.318,20,28,0.714,12,44,20,12,6,19,32
37,MIA,2010-2011,W,111,105,42,84,0.5,6,16,0.375,21,34,0.618,9,42,33,6,8,10,18,37,88,0.42,8,27,0.296,23,30,0.767,13,46,22,3,5,7,21
38,GSW,2010-2011,L,112,122,45,85,0.529,3,14,0.214,19,26,0.731,12,41,23,8,2,15,21,43,82,0.524,14,26,0.538,22,24,0.917,7,35,29,9,3,14,22
39,LAL,2010-2011,W,99,92,38,87,0.437,9,21,0.429,14,23,0.609,15,50,28,9,5,11,23,31,75,0.413,3,20,0.15,27,33,0.818,11,45,12,7,8,12,23
40,IND,2010-2011,W,114,107,44,81,0.543,7,16,0.438,19,26,0.731,7,36,29,5,3,16,21,34,74,0.459,11,25,0.44,28,31,0.903,7,34,24,10,6,14,24
41,MIN,2010-2011,W,126,111,44,89,0.494,12,21,0.571,26,36,0.722,22,48,26,9,4,23,24,41,82,0.5,1,16,0.063,28,33,0.848,12,33,23,15,8,19,24
42,POR,2010-2011,L,93,108,35,81,0.432,9,26,0.346,14,21,0.667,15,42,18,4,3,15,17,44,78,0.564,7,16,0.438,13,19,0.684,8,37,21,8,5,7,20
