Game,Opp,W/L,TmScore,OppScore,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
1,OKC,W,93,90,34,87,0.391,7,30,0.233,18,25,0.72,14,33,17,10,4,11,27,28,65,0.431,6,21,0.286,28,34,0.824,8,47,23,5,2,22,27
2,LAL,W,118,111,34,71,0.479,12,33,0.364,38,44,0.864,6,36,25,6,2,14,26,42,82,0.512,7,20,0.35,20,28,0.714,9,40,24,5,2,14,35
3,SAC,L,92,98,33,88,0.375,9,31,0.29,17,21,0.81,11,35,23,10,7,8,25,34,68,0.5,3,10,0.3,27,33,0.818,9,46,21,4,11,19,22
4,UTA,W,107,101,41,81,0.506,10,23,0.435,15,17,0.882,5,35,28,6,6,10,17,36,77,0.468,10,27,0.37,19,24,0.792,9,43,24,4,2,17,20
5,GSW,L,104,121,38,82,0.463,7,19,0.368,21,27,0.778,5,30,26,12,2,14,14,43,74,0.581,15,25,0.6,20,20,1,4,39,29,7,3,23,22
6,POR,W,106,102,40,81,0.494,5,12,0.417,21,30,0.7,8,37,17,8,4,7,19,36,80,0.45,10,25,0.4,20,25,0.8,9,43,25,2,3,16,26
7,SAS,L,85,89,33,74,0.446,5,22,0.227,14,17,0.824,8,44,26,6,8,15,20,33,83,0.398,2,19,0.105,21,27,0.778,10,39,20,11,4,8,17
8,PHO,W,120,107,36,68,0.529,14,29,0.483,34,43,0.791,4,47,24,5,12,20,26,38,99,0.384,11,30,0.367,20,23,0.87,16,43,26,9,3,10,30
9,CHI,L,89,105,36,81,0.444,7,23,0.304,10,22,0.455,9,40,20,2,5,12,21,39,80,0.488,10,26,0.385,17,25,0.68,9,45,28,7,2,8,24
10,ORL,W,114,90,45,84,0.536,12,21,0.571,12,16,0.75,2,39,24,8,9,7,19,34,86,0.395,8,24,0.333,14,18,0.778,11,48,21,5,1,13,17
11,MIA,W,110,93,43,77,0.558,13,31,0.419,11,17,0.647,4,35,31,6,0,13,21,30,67,0.448,6,26,0.231,27,31,0.871,6,30,11,10,3,12,15
12,MEM,L,91,107,32,77,0.416,7,25,0.28,20,28,0.714,5,32,14,10,1,10,27,42,85,0.494,7,21,0.333,16,23,0.696,12,52,20,3,3,17,21
13,CHO,W,113,92,45,88,0.511,15,32,0.469,8,10,0.8,8,43,28,2,2,8,24,31,75,0.413,2,20,0.1,28,35,0.8,5,33,21,6,4,5,17
14,DET,W,104,98,37,78,0.474,12,28,0.429,18,19,0.947,9,39,21,9,3,15,19,35,78,0.449,10,27,0.37,18,24,0.75,12,38,18,8,4,15,17
15,HOU,W,102,85,38,81,0.469,9,25,0.36,17,22,0.773,8,45,23,8,4,10,18,32,82,0.39,10,37,0.27,11,15,0.733,8,40,17,7,6,14,27
16,UTA,W,112,96,45,80,0.563,11,28,0.393,11,15,0.733,9,37,21,6,5,11,25,34,75,0.453,7,21,0.333,21,33,0.636,12,37,19,6,2,13,15
17,MIN,W,127,101,41,80,0.513,15,34,0.441,30,36,0.833,9,50,33,5,7,14,26,35,82,0.427,2,12,0.167,29,40,0.725,6,32,26,9,3,10,27
18,ORL,W,114,86,42,78,0.538,12,31,0.387,18,25,0.72,6,44,32,11,6,17,17,33,79,0.418,7,20,0.35,13,25,0.52,6,34,21,11,2,16,24
19,NOP,W,120,100,43,78,0.551,17,32,0.531,17,24,0.708,6,38,34,7,6,7,20,38,80,0.475,8,23,0.348,16,25,0.64,12,45,26,4,2,11,18
20,PHO,W,121,120,44,96,0.458,9,31,0.29,24,30,0.8,10,45,27,7,5,11,22,44,91,0.484,16,37,0.432,16,20,0.8,7,43,32,9,3,16,28
21,IND,W,103,96,42,88,0.477,7,24,0.292,12,14,0.857,10,50,25,7,7,12,17,35,89,0.393,9,27,0.333,17,22,0.773,12,43,27,6,1,11,18
22,WAS,L,96,104,32,75,0.427,6,20,0.3,26,31,0.839,12,37,14,7,2,18,20,39,80,0.488,9,16,0.563,17,21,0.81,9,37,28,10,6,14,25
23,MIL,L,106,111,39,91,0.429,14,29,0.483,14,19,0.737,10,35,24,8,3,12,24,43,76,0.566,7,11,0.636,18,24,0.75,6,39,25,3,4,15,19
