Game,Opp,Year,Result,TmScore,OppScore,FG,FGA,FGPCT,3P,3PA,3PPCT,FT,FTA,FTPCT,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
1,SAC,2007-2008,W,104,90,39,77,0.506,10,21,0.476,16,21,0.762,11,44,23,6,7,19,24,36,81,0.444,3,10,0.3,15,18,0.833,8,34,21,5,3,15,27
2,POR,2007-2008,W,113,93,44,78,0.564,11,25,0.44,14,16,0.875,8,40,21,7,3,11,20,40,83,0.482,6,13,0.462,7,10,0.7,9,30,23,4,1,13,18
3,DEN,2007-2008,W,93,88,33,86,0.384,8,24,0.333,19,26,0.731,12,53,22,10,8,15,22,33,90,0.367,4,18,0.222,18,24,0.75,15,54,18,7,7,15,23
4,LAL,2007-2008,W,118,104,42,89,0.472,14,25,0.56,20,22,0.909,9,43,29,8,3,12,17,44,93,0.473,8,24,0.333,8,9,0.889,11,45,27,5,8,15,17
5,POR,2007-2008,L,90,93,34,87,0.391,3,12,0.25,19,22,0.864,16,50,16,7,3,12,20,35,86,0.407,5,15,0.333,18,24,0.75,12,45,23,7,1,11,22
6,SAS,2007-2008,L,85,97,35,81,0.432,4,15,0.267,11,17,0.647,9,37,18,8,3,9,15,40,77,0.519,4,15,0.267,13,18,0.722,7,42,19,6,6,10,17
7,PHI,2007-2008,W,93,72,37,78,0.474,10,20,0.5,9,13,0.692,11,42,21,10,1,16,20,30,74,0.405,2,15,0.133,10,15,0.667,11,41,21,7,2,18,20
8,NJN,2007-2008,W,84,82,32,76,0.421,11,17,0.647,9,10,0.9,5,39,16,10,4,16,19,31,76,0.408,4,14,0.286,16,21,0.762,9,45,21,8,6,14,11
9,PHI,2007-2008,W,95,76,35,73,0.479,11,20,0.55,14,22,0.636,11,35,20,12,4,15,22,30,75,0.4,4,11,0.364,12,17,0.706,12,41,15,5,2,20,24
10,MEM,2007-2008,W,120,118,46,92,0.5,9,20,0.45,19,23,0.826,15,49,23,7,6,16,16,46,91,0.505,15,24,0.625,11,16,0.688,7,38,20,6,5,13,22
11,MIN,2007-2008,W,100,82,40,82,0.488,9,23,0.391,11,11,1,11,33,25,5,4,4,15,31,74,0.419,5,15,0.333,15,20,0.75,16,44,18,1,2,16,16
12,ORL,2007-2008,L,88,95,36,83,0.434,4,17,0.235,12,16,0.75,8,36,19,9,2,14,20,34,72,0.472,8,30,0.267,19,23,0.826,5,43,19,8,3,20,11
13,IND,2007-2008,L,93,105,34,87,0.391,8,30,0.267,17,20,0.85,11,45,17,4,4,9,18,41,89,0.461,9,25,0.36,14,20,0.7,12,51,25,6,4,7,17
14,UTA,2007-2008,L,71,99,25,76,0.329,1,17,0.059,20,29,0.69,15,45,14,6,4,18,23,37,78,0.474,8,14,0.571,17,20,0.85,9,44,28,9,5,17,24
15,LAC,2007-2008,W,98,89,37,80,0.463,8,15,0.533,16,20,0.8,8,39,22,5,5,9,22,30,75,0.4,6,22,0.273,23,29,0.793,14,45,22,3,4,15,18
16,MIN,2007-2008,L,94,103,31,74,0.419,7,22,0.318,25,30,0.833,5,34,22,9,2,16,22,39,75,0.52,8,18,0.444,17,23,0.739,3,35,25,13,2,16,25
17,ATL,2007-2008,W,92,86,35,86,0.407,5,20,0.25,17,22,0.773,16,49,15,9,1,12,20,31,68,0.456,6,15,0.4,18,25,0.72,6,41,22,5,4,19,17
18,DAL,2007-2008,W,112,108,38,87,0.437,6,17,0.353,30,34,0.882,14,46,21,5,4,8,20,39,90,0.433,6,20,0.3,24,26,0.923,12,45,25,4,4,9,26
19,DET,2007-2008,L,76,91,26,75,0.347,4,15,0.267,20,23,0.87,14,48,16,3,6,13,17,35,85,0.412,6,21,0.286,15,18,0.833,13,47,21,3,5,6,20
20,MEM,2007-2008,W,118,116,46,101,0.455,8,20,0.4,18,23,0.783,17,47,23,14,4,12,25,44,80,0.55,5,17,0.294,23,30,0.767,7,39,24,5,6,18,19
21,SEA,2007-2008,W,91,88,37,81,0.457,2,11,0.182,15,27,0.556,9,43,19,6,8,12,18,34,90,0.378,4,11,0.364,16,20,0.8,19,56,21,5,6,15,17
22,DEN,2007-2008,L,99,105,40,85,0.471,7,19,0.368,12,15,0.8,11,41,25,4,3,17,28,39,84,0.464,5,13,0.385,22,27,0.815,10,43,25,9,8,13,19
23,DAL,2007-2008,L,80,89,30,84,0.357,5,19,0.263,15,18,0.833,17,46,12,9,1,13,22,35,74,0.473,3,8,0.375,16,20,0.8,12,45,22,5,7,17,20
24,PHO,2007-2008,W,101,98,37,91,0.407,12,23,0.522,15,18,0.833,13,49,24,5,1,11,12,38,80,0.475,8,20,0.4,14,16,0.875,5,41,28,6,6,11,20
25,POR,2007-2008,L,76,88,31,76,0.408,4,26,0.154,10,14,0.714,18,47,14,6,6,13,21,33,79,0.418,7,20,0.35,15,20,0.75,12,36,21,6,6,9,16
26,SEA,2007-2008,W,107,93,46,94,0.489,12,23,0.522,3,5,0.6,14,42,27,11,8,11,19,36,85,0.424,5,14,0.357,16,19,0.842,16,46,18,9,4,14,11
27,MIN,2007-2008,W,110,76,44,83,0.53,4,19,0.211,18,21,0.857,9,43,28,14,7,9,12,31,80,0.388,6,19,0.316,8,14,0.571,12,41,15,6,2,21,20
28,MEM,2007-2008,W,116,98,48,86,0.558,12,31,0.387,8,10,0.8,8,35,21,12,7,9,14,39,82,0.476,9,21,0.429,11,13,0.846,11,39,16,6,6,17,15
29,CHA,2007-2008,W,99,85,37,82,0.451,6,20,0.3,19,23,0.826,11,45,22,8,4,13,18,32,78,0.41,5,15,0.333,16,21,0.762,9,41,17,8,2,15,25
30,CLE,2007-2008,W,86,76,31,74,0.419,7,25,0.28,17,22,0.773,10,39,16,11,4,8,17,32,82,0.39,5,15,0.333,7,11,0.636,15,48,13,3,2,13,17
31,TOR,2007-2008,L,92,97,36,83,0.434,5,26,0.192,15,20,0.75,12,43,23,6,2,11,22,37,72,0.514,3,12,0.25,20,23,0.87,3,34,23,7,5,11,19
32,LAC,2007-2008,W,95,81,32,77,0.416,6,19,0.316,25,27,0.926,7,46,19,4,4,9,16,33,75,0.44,3,8,0.375,12,18,0.667,2,33,23,5,6,8,22
33,GSW,2007-2008,W,116,104,43,89,0.483,12,27,0.444,18,23,0.783,14,45,26,10,1,10,23,41,77,0.532,7,23,0.304,15,27,0.556,9,35,26,3,3,13,16
34,PHO,2007-2008,W,118,113,47,95,0.495,11,27,0.407,13,17,0.765,15,37,18,7,2,7,20,41,77,0.532,7,21,0.333,24,29,0.828,8,39,22,4,12,13,18
35,LAL,2007-2008,L,80,109,31,84,0.369,1,11,0.091,17,24,0.708,16,40,12,2,1,12,16,45,82,0.549,9,21,0.429,10,14,0.714,8,45,25,7,7,8,17
36,MIA,2007-2008,W,114,88,47,77,0.61,13,21,0.619,7,12,0.583,6,37,37,7,6,11,16,37,78,0.474,7,15,0.467,7,9,0.778,5,29,29,5,0,13,10
37,HOU,2007-2008,W,87,82,36,85,0.424,5,11,0.455,10,11,0.909,11,38,16,10,2,11,18,31,73,0.425,4,18,0.222,16,22,0.727,8,39,17,6,5,16,17
38,SEA,2007-2008,W,123,92,48,93,0.516,12,22,0.545,15,21,0.714,13,53,32,7,6,12,13,37,86,0.43,6,11,0.545,12,14,0.857,8,41,29,6,4,15,18
39,CHA,2007-2008,W,112,84,47,78,0.603,7,13,0.538,11,17,0.647,6,39,31,7,6,10,11,37,88,0.42,4,16,0.25,6,7,0.857,13,39,27,4,2,11,19
40,MIL,2007-2008,W,106,92,40,85,0.471,9,22,0.409,17,25,0.68,17,47,26,6,4,6,18,34,78,0.436,8,19,0.421,16,20,0.8,12,44,19,1,4,10,22
41,POR,2007-2008,W,96,81,36,77,0.468,5,17,0.294,19,26,0.731,12,41,24,4,3,8,16,30,76,0.395,8,26,0.308,13,19,0.684,12,37,21,4,7,8,21
42,LAC,2007-2008,W,111,92,42,89,0.472,14,24,0.583,13,15,0.867,15,49,27,10,4,11,18,36,78,0.462,3,10,0.3,17,18,0.944,7,38,20,5,2,12,16
43,SAS,2007-2008,W,102,78,44,81,0.543,7,20,0.35,7,9,0.778,7,41,17,4,3,10,12,33,79,0.418,2,20,0.1,10,13,0.769,8,32,17,4,4,11,12
44,DEN,2007-2008,W,117,93,45,89,0.506,7,21,0.333,20,23,0.87,17,52,32,9,4,15,24,35,82,0.427,8,26,0.308,15,18,0.833,8,33,18,10,2,19,21
45,GSW,2007-2008,L,103,116,41,94,0.436,6,20,0.3,15,20,0.75,20,49,25,6,5,6,16,45,86,0.523,13,27,0.481,13,14,0.929,9,36,23,2,5,6,19
46,SAC,2007-2008,L,103,112,38,79,0.481,14,28,0.5,13,18,0.722,7,38,24,6,4,16,19,43,87,0.494,10,23,0.435,16,24,0.667,11,42,26,7,7,11,18
47,UTA,2007-2008,L,88,110,31,69,0.449,10,18,0.556,16,23,0.696,9,39,17,6,4,19,24,41,81,0.506,14,22,0.636,14,22,0.636,9,39,26,11,3,10,15
48,PHO,2007-2008,W,132,130,54,114,0.474,8,21,0.381,16,18,0.889,15,45,13,14,2,9,23,53,96,0.552,13,26,0.5,11,14,0.786,8,47,26,1,6,20,20
49,MEM,2007-2008,W,112,99,42,87,0.483,8,25,0.32,20,23,0.87,14,40,30,10,6,11,21,37,80,0.463,7,16,0.438,18,21,0.857,9,34,19,6,4,15,23
50,CHI,2007-2008,W,100,86,38,78,0.487,8,19,0.421,16,22,0.727,10,37,21,10,9,11,17,33,82,0.402,6,14,0.429,14,17,0.824,14,41,21,5,5,17,18
51,MIL,2007-2008,W,111,107,43,78,0.551,9,14,0.643,16,19,0.842,9,39,22,5,1,13,18,40,80,0.5,8,15,0.533,19,23,0.826,10,32,29,9,5,8,16
52,DAL,2007-2008,W,104,93,35,75,0.467,10,19,0.526,24,32,0.75,11,40,20,11,0,15,21,33,73,0.452,4,15,0.267,23,27,0.852,10,40,13,9,2,17,22
53,HOU,2007-2008,L,80,100,32,80,0.4,2,11,0.182,14,25,0.56,12,38,20,5,7,9,17,42,85,0.494,6,19,0.316,10,13,0.769,15,55,21,2,1,11,21
54,SAS,2007-2008,L,89,98,34,78,0.436,7,17,0.412,14,19,0.737,7,35,13,5,3,7,22,37,77,0.481,7,22,0.318,17,17,1,8,43,26,3,5,10,18
55,WAS,2007-2008,L,92,95,35,75,0.467,10,24,0.417,12,22,0.545,11,42,19,3,1,16,17,34,80,0.425,6,18,0.333,21,24,0.875,10,35,11,11,2,7,18
56,PHO,2007-2008,W,120,103,48,90,0.533,8,15,0.533,16,18,0.889,5,36,26,12,3,10,22,35,73,0.479,9,18,0.5,24,30,0.8,5,36,28,2,7,18,20
57,UTA,2007-2008,W,110,98,37,78,0.474,9,20,0.45,27,31,0.871,7,34,24,9,3,6,20,38,77,0.494,3,16,0.188,19,27,0.704,12,45,17,2,2,14,21
58,WAS,2007-2008,L,84,101,32,78,0.41,6,17,0.353,14,17,0.824,16,44,17,4,3,15,22,35,81,0.432,6,21,0.286,25,31,0.806,15,44,19,9,7,7,18
59,NYK,2007-2008,W,100,88,38,88,0.432,10,25,0.4,14,20,0.7,15,52,18,5,6,7,19,35,86,0.407,5,14,0.357,13,20,0.65,12,47,18,2,2,9,22
60,ATL,2007-2008,W,116,101,47,99,0.475,15,29,0.517,7,9,0.778,20,45,35,7,2,9,19,40,78,0.513,4,12,0.333,17,26,0.654,13,40,18,3,3,14,15
61,NJN,2007-2008,W,107,96,38,73,0.521,3,13,0.231,28,33,0.848,9,40,22,8,2,13,9,43,87,0.494,4,19,0.211,6,7,0.857,10,35,28,8,3,13,23
62,HOU,2007-2008,L,96,106,40,91,0.44,11,21,0.524,5,12,0.417,15,41,20,7,3,11,11,42,84,0.5,14,34,0.412,8,8,1,10,43,27,8,6,11,15
63,SAS,2007-2008,W,100,75,44,75,0.587,3,9,0.333,9,10,0.9,7,45,27,6,3,13,22,33,77,0.429,2,18,0.111,7,17,0.412,8,27,18,11,2,11,18
64,LAL,2007-2008,W,108,98,41,84,0.488,11,24,0.458,15,24,0.625,17,55,28,8,4,16,21,35,92,0.38,9,30,0.3,19,24,0.792,15,43,26,13,2,10,22
65,DET,2007-2008,L,84,105,35,81,0.432,3,18,0.167,11,16,0.688,17,40,17,7,1,10,17,39,74,0.527,14,21,0.667,13,16,0.813,11,37,25,7,5,9,17
66,CHI,2007-2008,W,108,97,40,82,0.488,6,18,0.333,22,29,0.759,12,42,21,8,3,11,23,34,79,0.43,8,18,0.444,21,30,0.7,8,40,19,5,3,13,23
67,HOU,2007-2008,W,90,69,34,76,0.447,4,13,0.308,18,25,0.72,9,47,18,14,9,12,17,28,82,0.341,2,19,0.105,11,17,0.647,13,50,11,6,2,18,19
68,BOS,2007-2008,W,113,106,39,77,0.506,10,23,0.435,25,29,0.862,7,29,19,13,3,9,21,41,74,0.554,7,21,0.333,17,22,0.773,11,44,21,4,2,20,26
69,IND,2007-2008,W,114,106,39,79,0.494,6,15,0.4,30,39,0.769,8,37,20,11,6,9,20,41,88,0.466,9,25,0.36,15,21,0.714,11,42,20,7,5,14,25
70,CLE,2007-2008,W,100,99,35,80,0.438,11,22,0.5,19,22,0.864,11,33,27,6,4,8,17,41,82,0.5,5,17,0.294,12,18,0.667,17,48,23,4,8,13,21
71,BOS,2007-2008,L,92,112,34,78,0.436,9,24,0.375,15,26,0.577,7,29,17,4,4,7,21,44,74,0.595,4,16,0.25,20,22,0.909,2,40,26,2,3,6,24
72,TOR,2007-2008,W,118,111,48,80,0.6,8,15,0.533,14,17,0.824,6,34,25,5,4,9,11,45,86,0.523,9,21,0.429,12,12,1,8,34,31,4,2,11,14
73,ORL,2007-2008,W,98,97,35,86,0.407,7,18,0.389,21,27,0.778,21,51,18,5,4,11,18,37,74,0.5,13,29,0.448,10,15,0.667,2,30,20,4,3,11,25
74,MIA,2007-2008,W,106,77,41,85,0.482,7,18,0.389,17,25,0.68,12,50,22,7,2,6,20,27,74,0.365,11,27,0.407,12,19,0.632,8,40,20,5,5,13,21
75,NYK,2007-2008,W,118,110,43,84,0.512,8,20,0.4,24,28,0.857,9,33,26,12,7,5,15,44,80,0.55,4,16,0.25,18,22,0.818,10,41,21,4,2,15,23
76,GSW,2007-2008,W,108,96,44,87,0.506,9,23,0.391,11,15,0.733,10,44,31,14,2,18,17,43,95,0.453,3,29,0.103,7,9,0.778,14,43,20,8,3,17,18
77,UTA,2007-2008,L,66,77,27,74,0.365,3,14,0.214,9,13,0.692,8,36,18,10,4,19,13,35,80,0.438,4,19,0.211,3,5,0.6,12,47,23,13,3,22,17
78,MIN,2007-2008,W,122,90,47,84,0.56,11,26,0.423,17,27,0.63,11,40,27,8,3,5,12,36,74,0.486,10,19,0.526,8,9,0.889,8,36,22,3,1,18,22
79,LAL,2007-2008,L,104,107,41,80,0.513,9,19,0.474,13,17,0.765,6,33,27,7,3,11,26,36,80,0.45,10,36,0.278,25,29,0.862,13,45,27,5,3,12,18
80,SAC,2007-2008,L,91,94,33,86,0.384,3,18,0.167,22,28,0.786,11,46,19,10,1,15,22,38,78,0.487,7,21,0.333,11,20,0.55,5,43,16,7,5,16,24
81,LAC,2007-2008,W,114,92,43,85,0.506,7,23,0.304,21,23,0.913,9,38,23,10,5,5,15,34,72,0.472,6,14,0.429,18,24,0.75,5,36,24,4,3,16,15
82,DAL,2007-2008,L,98,111,38,83,0.458,5,13,0.385,17,23,0.739,13,43,18,6,10,9,25,39,89,0.438,10,27,0.37,23,25,0.92,14,45,21,3,2,6,17
