Game,Opp,Year,Result,TmScore,OppScore,FG,FGA,FGPCT,3P,3PA,3PPCT,FT,FTA,FTPCT,ORB,TRB,AST,STL,BLK,TOV,PF,OPPFG,OPPFGA,OPPFG%,OPP3P,OPP3PA,OPP3P%,OPPFT,OPPFTA,OPPFT%,OPPORB,OPPTRB,OPPAST,OPPSTL,OPPBLK,OPPTOV,OPPPF
1,MIL,2010-2011,W,95,91,34,79,0.43,4,17,0.235,23,29,0.793,6,44,23,4,0,9,26,33,77,0.429,8,23,0.348,17,28,0.607,8,45,14,4,2,12,27
2,DEN,2010-2011,W,101,95,38,77,0.494,6,17,0.353,19,24,0.792,11,35,23,11,8,15,22,35,72,0.486,6,15,0.4,19,25,0.76,11,37,19,9,2,19,22
3,SAS,2010-2011,W,99,90,39,78,0.5,7,11,0.636,14,17,0.824,3,40,20,7,5,14,18,33,85,0.388,6,26,0.231,18,21,0.857,11,41,24,7,6,13,19
4,HOU,2010-2011,W,107,99,36,79,0.456,5,13,0.385,30,42,0.714,12,45,20,9,11,8,22,39,93,0.419,8,24,0.333,13,18,0.722,11,45,22,4,6,12,26
5,MIA,2010-2011,W,96,93,39,79,0.494,4,14,0.286,14,17,0.824,10,42,26,9,1,13,22,33,78,0.423,5,21,0.238,22,24,0.917,8,36,19,6,5,13,17
6,MIL,2010-2011,W,87,81,31,69,0.449,7,17,0.412,18,22,0.818,10,47,17,6,5,19,22,32,83,0.386,4,16,0.25,13,20,0.65,11,42,17,8,0,10,20
7,LAC,2010-2011,W,101,82,39,77,0.506,8,16,0.5,15,21,0.714,5,33,29,11,7,13,24,31,67,0.463,5,16,0.313,15,18,0.833,7,39,19,4,2,25,21
8,POR,2010-2011,W,107,87,37,77,0.481,8,24,0.333,25,27,0.926,10,40,23,8,5,11,20,33,81,0.407,4,17,0.235,17,19,0.895,13,38,15,6,7,13,24
9,DAL,2010-2011,L,95,98,34,77,0.442,11,25,0.44,16,24,0.667,12,42,20,9,3,13,26,34,69,0.493,11,27,0.407,19,27,0.704,8,38,21,3,3,15,18
10,DAL,2010-2011,W,99,97,40,82,0.488,8,14,0.571,11,16,0.688,7,31,23,8,4,9,22,35,69,0.507,7,18,0.389,20,23,0.87,4,35,27,4,6,15,22
11,CLE,2010-2011,W,108,101,39,85,0.459,7,25,0.28,23,30,0.767,8,43,22,7,9,9,25,30,86,0.349,9,25,0.36,32,34,0.941,14,53,19,6,2,13,25
12,SAC,2010-2011,W,75,71,28,87,0.322,4,12,0.333,15,16,0.938,15,49,20,10,6,15,18,29,75,0.387,4,13,0.308,9,15,0.6,12,51,14,5,9,21,19
13,LAC,2010-2011,L,95,99,37,78,0.474,6,20,0.3,15,23,0.652,9,40,19,2,2,12,30,38,75,0.507,6,19,0.316,17,34,0.5,12,43,26,7,5,12,24
14,UTA,2010-2011,L,87,105,29,69,0.42,4,19,0.211,25,32,0.781,7,36,13,7,2,17,23,40,82,0.488,6,14,0.429,19,19,1,8,38,27,11,3,11,23
15,POR,2010-2011,W,97,78,34,66,0.515,8,14,0.571,21,30,0.7,11,48,21,5,2,16,17,30,76,0.395,6,18,0.333,12,14,0.857,6,27,22,9,7,8,24
16,SAS,2010-2011,L,95,109,36,72,0.5,5,11,0.455,18,24,0.75,5,34,17,5,6,11,21,40,82,0.488,9,25,0.36,20,25,0.8,11,42,25,7,5,10,20
17,OKC,2010-2011,L,89,95,36,82,0.439,6,14,0.429,11,17,0.647,5,36,21,11,4,13,26,31,82,0.378,7,20,0.35,26,29,0.897,16,56,17,10,9,18,17
18,CHA,2010-2011,W,89,73,36,77,0.468,6,18,0.333,11,17,0.647,10,42,25,7,8,11,15,29,71,0.408,3,11,0.273,12,19,0.632,7,38,15,5,2,13,18
19,NYK,2010-2011,L,92,100,33,77,0.429,3,14,0.214,23,30,0.767,11,47,18,11,2,19,16,39,83,0.47,13,30,0.433,9,12,0.75,6,39,27,8,4,14,19
20,SAS,2010-2011,L,84,109,33,75,0.44,3,8,0.375,15,19,0.789,7,30,22,8,2,15,23,41,70,0.586,11,22,0.5,16,23,0.696,7,38,29,10,4,16,17
21,DET,2010-2011,W,93,74,37,74,0.5,6,14,0.429,13,21,0.619,4,40,29,7,5,10,17,30,80,0.375,4,20,0.2,10,18,0.556,14,44,15,8,6,12,21
22,OKC,2010-2011,L,92,97,35,74,0.473,5,14,0.357,17,23,0.739,11,37,20,16,5,19,23,35,70,0.5,4,13,0.308,23,26,0.885,7,34,18,7,7,20,18
23,PHI,2010-2011,L,70,88,24,79,0.304,5,12,0.417,17,23,0.739,11,47,4,7,2,13,19,33,77,0.429,7,17,0.412,15,22,0.682,6,49,24,5,4,14,20
24,MIA,2010-2011,L,84,96,28,67,0.418,1,13,0.077,27,34,0.794,10,40,14,5,1,12,29,31,70,0.443,4,14,0.286,30,38,0.789,8,36,17,6,9,6,25
25,SAC,2010-2011,W,94,91,34,78,0.436,4,11,0.364,22,30,0.733,13,43,25,5,6,11,19,39,84,0.464,6,20,0.3,7,12,0.583,9,41,19,5,2,15,25
26,UTA,2010-2011,W,100,71,38,75,0.507,5,16,0.313,19,22,0.864,13,53,23,6,7,16,24,29,81,0.358,3,19,0.158,10,20,0.5,7,24,13,7,5,10,17
27,DET,2010-2011,L,108,111,39,87,0.448,6,15,0.4,24,30,0.8,14,47,18,12,2,15,23,44,83,0.53,10,23,0.435,13,23,0.565,7,37,26,8,7,17,23
28,IND,2010-2011,L,93,94,33,83,0.398,4,15,0.267,23,32,0.719,18,53,18,9,5,13,14,34,80,0.425,11,23,0.478,15,19,0.789,8,39,22,8,11,14,23
