Game,Opp,W/L,TmScore,OppScore,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
1,UTA,L,95,100,32,83,0.386,10,27,0.37,21,31,0.677,7,48,15,5,4,13,23,40,90,0.444,6,24,0.25,14,20,0.7,11,49,15,4,5,11,31
2,WAS,L,85,97,33,83,0.398,5,23,0.217,14,22,0.636,7,49,14,7,6,18,18,39,97,0.402,11,41,0.268,8,10,0.8,8,47,21,9,6,15,21
3,GSW,W,120,92,44,78,0.564,15,32,0.469,17,22,0.773,8,50,24,8,5,23,26,30,92,0.326,5,33,0.152,27,31,0.871,12,39,17,13,2,14,15
4,HOU,L,112,116,41,94,0.436,13,35,0.371,17,24,0.708,16,52,22,7,3,13,27,39,90,0.433,10,44,0.227,28,33,0.848,9,40,21,6,6,14,24
5,POR,L,99,102,33,84,0.393,4,27,0.148,29,37,0.784,13,55,15,8,2,18,21,34,86,0.395,17,35,0.486,17,24,0.708,9,49,19,9,8,17,30
6,NOP,W,115,104,41,90,0.456,15,37,0.405,18,23,0.783,8,44,20,8,11,12,20,40,94,0.426,11,32,0.344,13,22,0.591,17,56,25,7,5,16,25
7,ORL,W,102,94,37,86,0.43,12,33,0.364,16,20,0.8,7,38,21,9,5,9,23,32,82,0.39,3,22,0.136,27,31,0.871,16,53,15,5,8,14,24
8,SAS,L,112,121,42,80,0.525,10,21,0.476,18,24,0.75,4,31,26,7,2,13,14,51,94,0.543,9,20,0.45,10,11,0.909,12,47,32,5,3,13,21
9,GSW,W,114,108,43,79,0.544,14,30,0.467,14,17,0.824,7,42,30,7,5,18,17,42,85,0.494,7,22,0.318,17,17,1,6,34,22,9,6,15,18
10,MIL,L,119,121,45,91,0.495,17,42,0.405,12,17,0.706,5,35,31,11,4,15,20,47,83,0.566,11,28,0.393,16,18,0.889,5,48,27,9,4,22,21
11,IND,L,85,111,29,82,0.354,6,25,0.24,21,24,0.875,9,40,19,9,4,15,16,46,94,0.489,7,23,0.304,12,13,0.923,11,50,21,6,4,14,20
12,PHI,W,127,119,41,76,0.539,10,24,0.417,35,41,0.854,6,36,22,7,3,13,23,45,90,0.5,14,32,0.438,15,22,0.682,13,43,24,6,0,14,32
13,LAC,L,88,90,28,75,0.373,7,27,0.259,25,28,0.893,9,45,17,12,4,17,19,35,87,0.402,10,36,0.278,10,14,0.714,13,49,23,7,5,17,25
14,LAL,L,107,112,38,80,0.475,9,28,0.321,22,25,0.88,8,39,22,10,2,15,22,43,89,0.483,14,31,0.452,12,19,0.632,14,46,29,9,8,16,20
15,LAL,L,127,130,49,93,0.527,11,31,0.355,18,20,0.9,6,37,28,8,3,11,23,45,88,0.511,17,31,0.548,23,29,0.793,11,45,32,7,6,15,20
16,GSW,W,100,97,40,85,0.471,11,32,0.344,9,11,0.818,9,43,26,5,13,15,16,37,89,0.416,9,20,0.45,14,16,0.875,9,41,27,10,7,12,17
17,POR,L,119,136,39,88,0.443,11,35,0.314,30,38,0.789,8,38,19,4,2,6,21,49,94,0.521,14,30,0.467,24,24,1,10,54,23,3,1,9,32
18,NOP,W,109,104,43,90,0.478,13,34,0.382,10,16,0.625,6,42,27,6,8,11,17,39,87,0.448,11,38,0.289,15,21,0.714,7,44,19,8,3,13,12
19,NOP,W,107,104,38,81,0.469,11,33,0.333,20,26,0.769,5,47,19,5,3,11,14,39,87,0.448,17,38,0.447,9,10,0.9,3,41,22,6,7,11,22
20,IND,L,100,107,41,84,0.488,9,26,0.346,9,10,0.9,8,37,25,3,5,11,19,42,87,0.483,9,24,0.375,14,17,0.824,11,39,19,5,1,8,21
21,MIN,W,139,127,49,88,0.557,5,18,0.278,36,40,0.9,9,39,19,8,9,10,20,50,96,0.521,13,38,0.342,14,20,0.7,10,36,25,8,2,13,29
22,POR,W,108,96,35,85,0.412,11,32,0.344,27,34,0.794,13,54,12,7,2,10,22,36,100,0.36,9,33,0.273,15,18,0.833,18,51,16,7,8,8,26
23,UTA,W,104,90,40,85,0.471,8,28,0.286,16,19,0.842,2,46,21,9,7,10,20,36,89,0.404,8,31,0.258,10,12,0.833,7,48,19,7,0,14,16
24,SAC,L,93,94,34,79,0.43,13,33,0.394,12,18,0.667,7,43,24,8,8,15,16,39,88,0.443,10,31,0.323,6,10,0.6,6,41,12,8,3,15,21
25,DEN,L,102,110,38,81,0.469,6,23,0.261,20,23,0.87,7,37,22,7,3,15,23,43,85,0.506,7,27,0.259,17,23,0.739,10,44,30,6,3,15,23
26,CHI,W,109,106,35,69,0.507,16,34,0.471,23,28,0.821,9,42,21,8,6,26,15,43,87,0.494,9,31,0.29,11,13,0.846,5,31,27,17,6,13,21
27,MEM,W,126,122,46,84,0.548,7,24,0.292,27,34,0.794,6,35,25,6,6,12,16,50,99,0.505,10,26,0.385,12,15,0.8,15,47,27,5,2,13,25
