Game,Opp,Year,W/L,TmScore,OppScore,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
1,CHO,2020-21,W,109,107,40,88,0.455,10,36,0.278,19,24,0.792,9,54,25,10,7,16,21,37,93,0.398,13,32,0.406,20,32,0.625,13,47,27,11,8,13,22
2,UTA,2020-21,L,109,110,40,86,0.465,15,38,0.395,14,19,0.737,7,37,21,9,5,15,16,43,86,0.5,13,36,0.361,11,14,0.786,8,43,24,9,6,16,19
3,ORL,2020-21,L,107,118,43,87,0.494,11,34,0.324,10,19,0.526,10,47,20,3,7,20,18,49,96,0.51,7,22,0.318,13,16,0.813,12,46,26,12,2,11,23
4,NOP,2020-21,L,80,113,30,80,0.375,15,48,0.313,5,15,0.333,7,40,24,6,3,19,20,44,91,0.484,13,36,0.361,12,19,0.632,14,58,23,9,4,13,16
5,ORL,2020-21,W,108,99,38,86,0.442,13,41,0.317,19,21,0.905,6,52,22,5,5,10,17,40,108,0.37,10,38,0.263,9,12,0.75,15,55,21,7,1,6,18
6,MIA,2020-21,L,90,118,29,79,0.367,13,48,0.271,19,27,0.704,6,38,20,6,4,15,15,46,81,0.568,16,34,0.471,10,18,0.556,4,47,34,7,0,14,20
7,NOP,2020-21,W,111,110,40,87,0.46,19,46,0.413,12,16,0.75,4,38,28,10,5,14,18,44,89,0.494,4,22,0.182,18,23,0.783,9,52,25,11,0,15,18
8,NYK,2020-21,W,101,89,38,87,0.437,11,34,0.324,14,21,0.667,11,62,16,2,7,11,19,34,96,0.354,9,27,0.333,12,20,0.6,11,49,19,8,7,4,19
9,BRK,2020-21,W,129,116,49,90,0.544,15,39,0.385,16,17,0.941,3,34,24,12,4,10,22,43,85,0.506,10,34,0.294,20,24,0.833,6,43,23,3,2,17,18
10,SAS,2020-21,L,102,112,36,83,0.434,7,26,0.269,23,29,0.793,7,52,18,1,5,13,20,41,95,0.432,10,35,0.286,20,22,0.909,7,46,26,8,5,4,20
11,LAL,2020-21,L,99,128,37,86,0.43,10,31,0.323,15,19,0.789,9,42,23,4,6,11,21,47,95,0.495,17,37,0.459,17,22,0.773,12,50,26,6,6,9,16
