Game,Opp,W/L,TmScore,OppScore,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
1,GSW,W,122,121,47,97,0.485,15,41,0.366,13,19,0.684,10,43,28,9,5,12,16,43,80,0.538,16,30,0.533,19,21,0.905,6,41,34,5,9,17,25
2,SAC,W,105,100,33,83,0.398,12,45,0.267,27,29,0.931,12,44,19,7,3,14,14,42,88,0.477,8,23,0.348,8,10,0.8,9,42,19,5,4,17,20
3,DAL,W,107,91,39,82,0.476,11,47,0.234,18,22,0.818,8,54,17,12,4,13,24,31,84,0.369,13,31,0.419,16,21,0.762,8,41,19,6,0,14,19
4,MEM,L,90,98,32,77,0.416,9,38,0.237,17,23,0.739,9,39,25,5,2,16,31,29,68,0.426,6,19,0.316,34,37,0.919,3,38,16,5,2,12,21
5,PHI,W,105,104,36,75,0.48,12,39,0.308,21,24,0.875,7,40,22,11,13,19,13,43,97,0.443,12,36,0.333,6,10,0.6,12,43,29,14,7,14,19
6,CHO,W,109,93,38,85,0.447,22,57,0.386,11,13,0.846,7,51,21,5,6,15,26,33,88,0.375,11,29,0.379,16,28,0.571,11,44,16,6,5,9,14
7,MEM,L,89,103,29,77,0.377,14,38,0.368,17,21,0.81,8,43,18,4,3,17,23,40,85,0.471,14,33,0.424,9,12,0.75,6,42,26,10,6,9,20
8,PHI,L,107,115,33,83,0.398,13,47,0.277,28,38,0.737,10,35,17,12,3,15,23,44,80,0.55,10,24,0.417,17,24,0.708,7,48,27,10,4,19,31
9,NYK,W,119,97,42,88,0.477,19,52,0.365,16,21,0.762,9,46,21,6,4,14,20,39,90,0.433,8,26,0.308,11,13,0.846,6,42,23,8,1,19,18
10,ATL,W,119,104,42,89,0.472,16,47,0.34,19,23,0.826,9,44,28,14,4,12,16,39,81,0.481,11,33,0.333,15,18,0.833,5,41,16,8,8,18,16
