Game,Opp,W/L,TmScore,OppScore,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
1,MIL,L,111,117,33,90,0.367,16,48,0.333,29,39,0.744,10,57,25,6,6,14,25,,46,99,0.465,16,46,0.348,9,18,0.5,6,53,31,7,10,11,27
2,NOP,W,126,123,43,94,0.457,13,45,0.289,27,30,0.9,9,45,27,7,4,19,22,,46,100,0.46,18,50,0.36,13,16,0.813,9,42,27,9,2,17,30
3,OKC,W,116,112,39,90,0.433,10,44,0.227,28,33,0.848,9,40,21,6,6,14,24,,41,94,0.436,13,35,0.371,17,24,0.708,16,52,22,7,3,13,27
4,WAS,W,159,158,55,103,0.534,23,54,0.426,26,33,0.788,19,44,34,10,5,13,24,,57,91,0.626,20,36,0.556,24,29,0.828,11,40,31,6,4,19,27
5,BRK,L,116,123,41,99,0.414,12,48,0.25,22,27,0.815,9,40,21,13,4,12,21,,42,85,0.494,19,32,0.594,20,28,0.714,10,55,26,8,7,20,21
6,MIA,L,100,129,31,79,0.392,14,48,0.292,24,31,0.774,4,38,19,6,5,22,24,,47,89,0.528,18,41,0.439,17,22,0.773,5,46,38,14,7,15,21
7,MEM,W,107,100,35,93,0.376,17,50,0.34,20,29,0.69,14,51,20,6,5,18,21,,40,94,0.426,3,25,0.12,17,21,0.81,13,51,19,13,7,14,21
8,GSW,W,129,112,48,97,0.495,21,45,0.467,12,19,0.632,11,50,31,7,9,12,20,,38,96,0.396,13,33,0.394,23,28,0.821,16,51,22,7,1,10,12
9,CHI,W,117,94,39,83,0.47,19,44,0.432,20,28,0.714,9,55,18,12,7,22,21,,37,98,0.378,4,32,0.125,16,18,0.889,11,46,21,14,5,15,22
10,NOP,W,122,116,44,85,0.518,12,41,0.293,22,32,0.688,7,47,16,9,6,17,22,,41,95,0.432,14,45,0.311,20,27,0.741,12,46,26,8,3,16,23
11,LAC,W,102,93,33,86,0.384,14,42,0.333,22,27,0.815,9,53,12,7,6,10,17,,38,98,0.388,10,33,0.303,7,14,0.5,11,53,17,3,3,13,21
12,IND,W,111,102,36,89,0.404,14,46,0.304,25,29,0.862,10,44,12,11,3,8,23,,37,82,0.451,8,33,0.242,20,26,0.769,8,42,24,2,2,16,25
13,MIN,W,125,105,43,94,0.457,19,49,0.388,20,22,0.909,14,42,15,7,3,12,18,,38,84,0.452,12,38,0.316,17,23,0.739,13,46,23,7,5,18,20
14,POR,W,132,108,47,100,0.47,17,45,0.378,21,26,0.808,17,58,24,9,10,16,21,,40,96,0.417,11,36,0.306,17,23,0.739,12,44,28,7,5,17,21
15,DEN,L,95,105,32,76,0.421,12,38,0.316,19,25,0.76,9,43,19,9,2,20,22,,44,94,0.468,9,27,0.333,8,15,0.533,15,48,29,13,4,14,21
16,LAC,L,119,122,39,84,0.464,15,43,0.349,26,38,0.684,11,43,22,11,2,15,27,,45,87,0.517,13,33,0.394,19,24,0.792,10,47,27,9,4,19,32
