Game,Opp,W/L,TmScore,OppScore,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,Year
1,SAC,W,124,95,49,98,0.5,11,33,0.333,15,18,0.833,9,44,31,13,9,14,25,34,87,0.391,10,29,0.345,17,26,0.654,12,47,17,5,5,26,24,2019-20
2,DEN,L,107,108,34,86,0.395,8,28,0.286,31,32,0.969,10,54,25,5,1,17,35,36,92,0.391,7,27,0.259,29,36,0.806,8,45,21,7,12,14,26,2019-20
3,LAC,W,130,122,43,86,0.5,17,43,0.395,27,34,0.794,9,49,32,9,3,16,34,40,87,0.46,11,32,0.344,31,39,0.795,10,41,20,8,4,12,32,2019-20
4,UTA,L,95,96,33,80,0.413,13,34,0.382,16,23,0.696,3,40,23,7,3,16,31,27,71,0.38,10,31,0.323,32,39,0.821,6,49,19,8,5,23,26,2019-20
5,GSW,W,121,110,44,96,0.458,15,36,0.417,18,21,0.857,13,45,33,12,4,16,22,36,82,0.439,8,28,0.286,30,36,0.833,7,43,24,8,6,18,22,2019-20
6,MEM,W,114,105,44,88,0.5,14,34,0.412,12,16,0.75,4,32,26,9,2,17,20,42,86,0.488,9,28,0.321,12,19,0.632,13,46,26,9,8,20,23,2019-20
7,PHI,W,114,109,41,77,0.532,11,28,0.393,21,27,0.778,5,40,24,6,5,19,24,42,89,0.472,13,29,0.448,12,20,0.6,9,38,21,11,2,20,29,2019-20
8,MIA,L,108,124,37,84,0.44,11,32,0.344,23,31,0.742,10,40,22,4,3,14,21,45,82,0.549,15,28,0.536,19,24,0.792,5,41,22,9,5,13,28,2019-20
9,BRK,W,138,112,52,99,0.525,19,42,0.452,15,19,0.789,5,42,37,8,7,7,17,44,91,0.484,8,34,0.235,16,17,0.941,5,43,27,4,2,17,24,2019-20
10,LAL,L,115,123,43,91,0.473,16,38,0.421,13,17,0.765,6,39,32,3,4,11,22,51,95,0.537,10,25,0.4,11,21,0.524,8,44,39,4,4,9,21,2019-20
