Game,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,DAL,W,106,102,38,79,0.481,11,30,0.367,19,27,0.704,6,48,21,7,7,18,26,36,85,0.424,9,37,0.243,21,26,0.808,6,39,17,6,0,11,23
2,SAC,L,103,106,41,98,0.418,11,44,0.25,10,13,0.769,10,40,25,8,5,11,23,39,86,0.453,5,23,0.217,23,33,0.697,15,56,20,4,9,18,22
3,SAC,W,116,100,46,94,0.489,14,35,0.4,10,11,0.909,8,44,34,6,3,9,20,36,76,0.474,10,23,0.435,18,25,0.72,3,39,21,5,4,15,23
4,NOP,W,111,86,37,84,0.44,19,47,0.404,18,19,0.947,12,43,24,7,4,10,18,37,77,0.481,3,24,0.125,9,18,0.5,7,41,18,8,3,16,14
5,UTA,W,106,95,41,84,0.488,17,33,0.515,7,10,0.7,5,41,26,5,6,15,17,35,84,0.417,12,34,0.353,13,19,0.684,10,46,16,8,3,13,15
6,DEN,W,106,103,37,76,0.487,13,35,0.371,19,21,0.905,8,37,24,1,4,17,20,39,86,0.453,12,29,0.414,13,16,0.813,8,38,28,7,1,11,25
7,LAC,L,107,112,37,75,0.493,10,33,0.303,23,28,0.821,7,40,23,4,3,13,22,40,83,0.482,17,29,0.586,15,19,0.789,8,37,24,5,2,10,22
8,TOR,W,123,115,40,83,0.482,21,40,0.525,22,24,0.917,8,41,30,4,3,10,23,39,79,0.494,14,35,0.4,23,32,0.719,10,42,18,6,5,12,19
9,DET,L,105,110,41,91,0.451,17,52,0.327,6,13,0.462,9,50,24,10,7,21,25,37,90,0.411,11,34,0.324,25,29,0.862,9,46,23,13,4,14,14
10,IND,W,125,117,46,94,0.489,16,41,0.39,17,17,1,4,40,33,6,2,2,17,44,92,0.478,12,29,0.414,17,24,0.708,13,52,23,2,4,10,19
11,WAS,L,107,128,39,87,0.448,4,27,0.148,25,30,0.833,8,42,21,3,6,6,22,48,92,0.522,15,34,0.441,17,28,0.607,14,53,29,3,3,7,23
12,MEM,L,104,108,40,88,0.455,15,36,0.417,9,16,0.563,12,44,30,8,4,18,20,41,83,0.494,11,26,0.423,15,20,0.75,9,40,31,13,3,15,15
13,HOU,W,109,103,42,89,0.472,8,34,0.235,17,19,0.895,8,45,25,6,11,17,21,37,88,0.42,10,31,0.323,19,22,0.864,7,39,17,11,5,16,19
14,DEN,L,126,130,47,94,0.5,17,44,0.386,15,15,1,9,45,30,7,4,16,23,53,103,0.515,6,26,0.231,18,19,0.947,10,43,32,12,1,9,15
15,DEN,L,112,120,41,102,0.402,16,53,0.302,14,18,0.778,7,50,26,8,4,9,31,40,97,0.412,15,36,0.417,25,32,0.781,12,65,22,4,3,16,20
16,OKC,L,97,102,36,95,0.379,15,43,0.349,10,12,0.833,9,49,19,7,3,13,16,38,85,0.447,16,40,0.4,10,14,0.714,5,48,21,7,8,14,19
17,GSW,W,114,93,41,88,0.466,11,32,0.344,21,23,0.913,9,57,34,7,1,14,14,38,99,0.384,11,38,0.289,6,8,0.75,12,48,21,8,1,13,19
18,DAL,W,111,105,37,81,0.457,10,22,0.455,27,31,0.871,9,42,22,9,0,13,19,44,83,0.53,9,29,0.31,8,14,0.571,5,37,22,5,4,15,26
19,DAL,W,109,108,43,92,0.467,13,35,0.371,10,12,0.833,11,45,19,7,3,16,24,37,86,0.43,10,32,0.313,24,25,0.96,7,42,16,9,7,14,17
20,NOP,L,101,123,38,82,0.463,8,35,0.229,17,20,0.85,11,39,26,3,6,14,18,46,90,0.511,14,33,0.424,17,21,0.81,12,44,30,7,3,7,20
21,DET,W,109,92,42,85,0.494,12,32,0.375,13,16,0.813,10,50,26,7,3,21,26,34,91,0.374,7,36,0.194,17,28,0.607,17,45,20,8,6,13,16
22,BOS,W,100,91,40,82,0.488,8,29,0.276,12,12,1,9,50,25,4,5,10,15,33,93,0.355,17,44,0.386,8,12,0.667,13,41,19,6,2,5,11
23,CLE,W,119,113,47,90,0.522,11,24,0.458,14,19,0.737,14,41,29,7,6,10,20,44,86,0.512,8,24,0.333,17,25,0.68,9,39,23,5,5,10,20
24,MIL,W,125,124,46,87,0.529,15,31,0.484,18,25,0.72,12,47,25,7,2,11,19,43,85,0.506,16,37,0.432,22,30,0.733,10,39,23,6,0,9,21
25,PHI,W,120,111,48,79,0.608,10,25,0.4,14,17,0.824,4,32,25,8,3,13,24,38,73,0.521,7,17,0.412,28,33,0.848,8,35,19,7,1,13,15
26,ORL,W,109,90,41,92,0.446,12,37,0.324,15,16,0.938,11,59,24,6,2,8,17,33,89,0.371,6,35,0.171,18,22,0.818,9,48,13,4,6,10,12
27,BRK,L,124,128,48,88,0.545,16,37,0.432,12,12,1,4,34,28,7,3,6,15,47,82,0.573,20,40,0.5,14,15,0.933,4,37,28,4,4,10,11
28,NOP,W,132,114,51,88,0.58,22,39,0.564,8,12,0.667,4,37,38,8,4,13,17,42,82,0.512,11,32,0.344,19,24,0.792,6,37,28,11,3,13,16
29,MEM,W,128,97,46,86,0.535,24,46,0.522,12,13,0.923,5,41,35,5,7,10,14,36,93,0.387,5,33,0.152,20,23,0.87,17,49,19,5,4,12,12
30,POR,W,132,100,50,99,0.505,16,33,0.485,16,18,0.889,13,43,29,6,5,7,13,37,84,0.44,12,39,0.308,14,19,0.737,13,46,15,6,6,16,17
31,CHO,L,121,124,44,87,0.506,14,38,0.368,19,27,0.704,7,41,26,9,6,14,25,43,88,0.489,13,36,0.361,25,27,0.926,9,46,24,8,5,13,21
32,CHI,W,106,97,44,88,0.5,6,22,0.273,12,15,0.8,3,30,35,11,4,7,11,39,78,0.5,12,31,0.387,7,10,0.7,6,41,25,2,4,17,16
33,MIN,W,118,99,44,89,0.494,7,27,0.259,23,24,0.958,8,47,27,7,5,16,18,35,93,0.376,8,35,0.229,21,24,0.875,10,44,21,12,4,15,22
34,LAL,W,114,104,38,77,0.494,16,29,0.552,22,25,0.88,5,35,30,5,7,13,16,40,79,0.506,11,31,0.355,13,17,0.765,5,34,18,6,8,12,23
35,GSW,W,120,98,49,96,0.51,12,30,0.4,10,13,0.769,12,52,31,8,4,16,16,38,88,0.432,12,35,0.343,10,16,0.625,9,40,22,9,4,17,11
36,POR,W,127,121,49,83,0.59,13,24,0.542,16,19,0.842,5,38,28,6,1,13,20,43,94,0.457,18,43,0.419,17,19,0.895,15,41,26,8,2,11,18
37,IND,L,111,122,43,91,0.473,12,31,0.387,13,17,0.765,10,40,28,9,4,16,17,46,87,0.529,13,28,0.464,17,21,0.81,9,45,25,9,6,15,18
38,MEM,W,122,99,47,83,0.566,12,30,0.4,16,18,0.889,5,42,28,7,5,14,19,38,87,0.437,5,23,0.217,18,26,0.692,10,39,15,11,0,10,17
39,MIN,L,119,123,45,85,0.529,15,36,0.417,14,19,0.737,9,47,29,6,6,22,30,44,93,0.473,11,34,0.324,24,35,0.686,11,38,22,14,4,12,16
40,MIN,W,113,101,43,86,0.5,14,27,0.519,13,17,0.765,6,40,29,8,1,18,19,37,79,0.468,13,35,0.371,14,18,0.778,5,39,22,8,6,19,19
41,LAL,W,111,94,42,87,0.483,9,32,0.281,18,23,0.783,9,51,30,7,6,10,24,35,85,0.412,5,25,0.2,19,28,0.679,7,41,20,3,2,11,18
42,MIA,W,110,100,45,91,0.495,12,37,0.324,8,9,0.889,8,39,29,5,6,6,18,36,86,0.419,13,36,0.361,15,17,0.882,17,50,23,3,4,13,13
43,ORL,L,111,112,40,90,0.444,11,33,0.333,20,22,0.909,10,47,22,9,3,8,15,42,90,0.467,13,37,0.351,15,19,0.789,9,49,18,3,5,11,18
44,TOR,W,104,100,43,90,0.478,9,36,0.25,9,9,1,9,47,26,4,3,13,16,37,90,0.411,12,45,0.267,14,16,0.875,7,38,20,5,4,10,17
45,CHO,W,101,97,34,96,0.354,8,40,0.2,25,29,0.862,21,50,17,15,2,14,17,34,85,0.4,13,43,0.302,16,23,0.696,16,52,16,8,3,20,23
46,ATL,W,117,110,45,88,0.511,12,32,0.375,15,18,0.833,11,49,27,6,1,13,14,41,85,0.482,13,32,0.406,15,21,0.714,6,36,30,9,1,7,17
47,CHI,W,121,116,46,81,0.568,11,25,0.44,18,24,0.75,4,32,29,6,7,9,21,43,99,0.434,11,33,0.333,19,21,0.905,18,50,27,6,4,9,20
48,OKC,W,140,103,54,90,0.6,15,33,0.455,17,21,0.81,6,41,36,12,8,10,20,35,89,0.393,15,38,0.395,18,23,0.783,11,38,19,6,3,16,17
49,HOU,W,133,130,44,86,0.512,18,37,0.486,27,31,0.871,6,37,29,11,3,11,22,43,79,0.544,17,33,0.515,27,33,0.818,5,38,28,6,3,18,25
50,UTA,W,117,113,45,101,0.446,11,34,0.324,16,20,0.8,16,61,20,7,5,14,21,46,103,0.447,11,44,0.25,10,15,0.667,7,45,14,6,4,13,23
51,LAC,L,103,113,36,71,0.507,6,24,0.25,25,30,0.833,9,36,20,6,6,14,18,42,84,0.5,18,37,0.486,11,12,0.917,9,35,26,5,1,10,22
52,WAS,W,134,106,55,107,0.514,17,43,0.395,7,7,1,5,45,36,8,3,3,18,39,84,0.464,9,25,0.36,19,28,0.679,7,49,27,2,1,16,12
53,HOU,W,126,120,45,94,0.479,25,45,0.556,11,18,0.611,12,42,33,14,3,13,18,44,87,0.506,17,42,0.405,15,19,0.789,12,51,32,9,3,21,15
54,MIA,W,106,86,38,82,0.463,13,42,0.31,17,18,0.944,9,48,28,11,2,19,18,31,82,0.378,9,44,0.205,15,19,0.789,8,36,24,13,2,16,20
55,SAC,W,122,114,48,86,0.558,14,38,0.368,12,14,0.857,10,39,30,9,4,11,18,43,78,0.551,14,30,0.467,14,19,0.737,4,32,22,7,4,15,16
56,SAS,L,85,111,36,90,0.4,6,27,0.222,7,16,0.438,15,48,19,7,2,14,14,45,89,0.506,12,29,0.414,9,12,0.75,5,46,23,10,9,12,17
